역번호,역사명,노선명,환승역구분,환승노선명,역사도로명주소,위도,경도
0122,시청,부산 도시철도 1호선,일반역,,부산광역시 연제구 중앙대로 지하 1017,35.177758347,129.075542237
0123,연산,부산 도시철도 1호선,환승역,부산 도시철도 1호선+부산 도시철도 3호선,부산광역시 연제구 중앙대로 지하 1101,35.177758347,129.075542237
0124,교대,부산 도시철도 1호선,환승역,부산 도시철도 1호선+동해선,부산광역시 연제구 중앙대로 지하 1217,35.177758347,129.075542237
0125,동래,부산 도시철도 1호선,환승역,부산 도시철도 1호선+부산 경량도시철도 4호선,부산광역시 동래구 중앙대로 1324,35.205618007,129.078480110
0126,명륜,부산 도시철도 1호선,일반역,,부산광역시 동래구 중앙대로 1414,35.212616065,129.079727611
0127,온천장,부산 도시철도 1호선,일반역,,부산광역시 동래구 중앙대로 1520,35.220268939,129.086393719
0128,부산대,부산 도시철도 1호선,일반역,,부산광역시 금정구 장전온천천로 48,35.229666581,129.089355458
0129,장전,부산 도시철도 1호선,일반역,,부산광역시 금정구 장전온천천로 144,35.238032397,129.088116542
0130,구서,부산 도시철도 1호선,일반역,,부산광역시 금정구 금정로 233번길 46,35.247270127,129.091294264
0131,두실,부산 도시철도 1호선,일반역,,부산광역시 금정구 중앙대로 1927-1,35.256874802,129.091412872
0132,남산,부산 도시철도 1호선,일반역,,부산광역시 금정구 중앙대로 지하2019-1 ,35.256489010,129.091634049
0133,범어사,부산 도시철도 1호선,일반역,,부산광역시 금정구 중앙대로 지하 2107,35.265267976,129.092497944
0134,노포,부산 도시철도 1호선,일반역,,부산광역시 금정구 중앙대로 2238,35.280581410,129.093863285
0201,장산,부산 도시철도 2호선,일반역,,부산광역시 해운대구 해운대로 지하 820,35.162875356,129.158098576
0202,중동,부산 도시철도 2호선,일반역,,부산광역시 해운대구 해운대로 지하 730,35.162875356,129.158098576
0203,해운대,부산 도시철도 2호선,일반역,,부산광역시 해운대구 해운대로 지하 626,35.162875356,129.158098576
0204,동백,부산 도시철도 2호선,일반역,,부산광역시 해운대구 해운대로 지하 522,35.162875356,129.158098576
0205,벡스코,부산 도시철도 2호선,환승역,부산 도시철도 2호선+동해선,부산광역시 해운대구 해운대로 지하 396,35.162875356,129.158098576
0206,센텀시티,부산 도시철도 2호선,일반역,,부산광역시 해운대구 센텀남대로 지하 76,35.165249785,129.129484748
0207,민락,부산 도시철도 2호선,일반역,,부산광역시 수영구 수영로 지하 769,35.151971289,129.113863198
0208,수영,부산 도시철도 2호선,환승역,부산 도시철도 2호선+부산 도시철도 3호선,부산광역시 수영구 수영로 지하 677,35.154102113,129.114065004
0209,광안,부산 도시철도 2호선,일반역,,부산광역시 수영구 수영로 지하 576,35.151971289,129.113863198
0210,금련산,부산 도시철도 2호선,일반역,,부산광역시 수영구 수영로 지하 482,35.144180340,129.104973612
0211,남천,부산 도시철도 2호선,일반역,,부산광역시 수영구 수영로 지하 410,35.160763135,129.113373438
0212,경성대·부경대,부산 도시철도 2호선,일반역,,부산광역시 남구 수영로 지하 324,35.133585126,129.088031905
0213,대연,부산 도시철도 2호선,일반역,,부산광역시 남구 수영로 지하 242,35.133585126,129.088031905
0214,못골,부산 도시철도 2호선,일반역,,부산광역시 남구 수영로 지하 170,35.134698600,129.094790707
0215,지게골,부산 도시철도 2호선,일반역,,부산광역시 남구 수영로 지하 70,35.136230735,129.069174185
0216,문현,부산 도시철도 2호선,일반역,,부산광역시 남구 전포대로 지하 17,35.137780988,129.068327243
0217,국제금융센터·부산은행,부산 도시철도 2호선,일반역,,부산광역시 남구 전포대로 지하97 ,35.137780988,129.068327243
0218,전포,부산 도시철도 2호선,일반역,,부산광역시 부산진구 전포대로 지하 181,35.147865349,129.066946038
0219,서면,부산 도시철도 2호선,환승역,부산 도시철도 1호선+부산 도시철도 2호선,부산광역시 부산진구 부전동 573번지,35.157742593094966,129.06005101106143
0220,부암,부산 도시철도 2호선,일반역,,부산광역시 부산진구 가야대로 지하 719,35.157462837,129.050386327
0221,가야,부산 도시철도 2호선,일반역,,부산광역시 부산진구 가야대로 지하 650,35.157462837,129.050386327
0222,동의대,부산 도시철도 2호선,일반역,,부산광역시 부산진구 가야대로 지하 554,35.157462837,129.050386327
0223,개금,부산 도시철도 2호선,일반역,,부산광역시 부산진구 가야대로 지하 442,35.157462837,129.050386327
0224,냉정,부산 도시철도 2호선,일반역,,부산광역시 사상구 가야대로 지하 362-1,35.150023364,129.002736728
0225,주례,부산 도시철도 2호선,일반역,,부산광역시 사상구 가야대로 지하 292,35.150263708,129.008700912
0226,감전,부산 도시철도 2호선,일반역,,부산광역시 사상구 사상로 지하 93-1,35.187634927,128.987439790
0227,사상,부산 도시철도 2호선,환승역,부산 도시철도 2호선+부산김해경전철,부산광역시 사상구 사상로 지하 203,35.156273774,128.990629335
0228,덕포,부산 도시철도 2호선,일반역,,부산광역시 사상구 사상로 지하 320-1,35.187634927,128.987439790
0229,모덕,부산 도시철도 2호선,일반역,,부산광역시 사상구 사상로 지하 409,35.156273774,128.990629335
0230,모라,부산 도시철도 2호선,일반역,,부산광역시 사상구 사상로 지하 498,35.156273774,128.990629335
0231,구남,부산 도시철도 2호선,일반역,,부산광역시 북구 백양대로 지하 1026,35.195142615,128.994357358
0232,구명,부산 도시철도 2호선,일반역,,부산광역시 북구 백양대로 지하 1094,35.195142615,128.994357358
0233,덕천,부산 도시철도 2호선,환승역,부산 도시철도 2호선+부산 도시철도 3호선,부산광역시 북구 금곡대로 지하 14,35.237354799,129.016638081
0234,수정,부산 도시철도 2호선,일반역,,부산광역시 북구 금곡대로 지하160 ,35.269268462,129.018528487
0235,화명,부산 도시철도 2호선,일반역,,부산광역시 북구 금곡대로 지하 311,35.225264923,129.010305094
0236,율리,부산 도시철도 2호선,일반역,,부산광역시 북구 금곡대로 지하 440,35.232787207,129.013782554
0237,동원,부산 도시철도 2호선,일반역,,부산광역시 북구 금곡대로 575,35.258303866,129.012222074
0238,금곡,부산 도시철도 2호선,일반역,,부산광역시 북구 금곡대로 685,35.267464419,129.016901650
0239,호포,부산 도시철도 2호선,일반역,,경상남도 양산시 동면 양산대로 62,35.281744329,129.017527486
0240,증산,부산 도시철도 2호선,일반역,,경상남도 양산시 물금읍 메기로 168,35.308234198,129.010272879
0241,부산대양산캠퍼스,부산 도시철도 2호선,일반역,,경상남도 양산시 물금읍 메기로 270,35.316831655,129.013836846
0242,남양산,부산 도시철도 2호선,일반역,,경상남도 양산시 물금읍 메기로 380,35.325340109,129.019430145
0243,양산,부산 도시철도 2호선,일반역,,경상남도 양산시 강변로 441,35.338722207,129.026448966
0301,수영,부산 도시철도 3호선,환승역,부산 도시철도 2호선+부산 도시철도 3호선,부산광역시 수영구 수영로 677,35.166259238,129.114560221
0302,망미,부산 도시철도 3호선,일반역,,부산광역시 수영구 연수로 지하 337,35.173450466,129.103677440
0303,배산,부산 도시철도 3호선,일반역,,부산광역시 연제구 연수로 지하 229,35.173216227,129.093832841
0304,물만골,부산 도시철도 3호선,일반역,,부산광역시 연제구 월드컵대로 지하 23,35.189617302,129.070951252
0305,연산,부산 도시철도 3호선,환승역,부산 도시철도 1호선+부산 도시철도 3호선,부산광역시 연제구 연산동 1515-1번지,35.18917148969641,129.0808428377268
0306,거제,부산 도시철도 3호선,환승역,부산 도시철도 3호선+동해선,부산광역시 연제구 월드컵대로 지하 209,35.181348992,129.080345003
0307,종합운동장,부산 도시철도 3호선,일반역,,부산광역시 연제구 아시아드대로 지하 73,35.193496564,129.066373492
0308,사직,부산 도시철도 3호선,일반역,,부산광역시 동래구 아시아드대로 지하 153,35.194287266,129.066222962
0309,미남,부산 도시철도 3호선,환승역,부산 도시철도 3호선+부산 경량도시철도 4호선,부산광역시 동래구 아시아드대로 지하 232,35.204332713,129.066052575
0310,만덕,부산 도시철도 3호선,일반역,,부산광역시 북구 만덕대로 지하 291,35.212815928,129.014349624
0311,남산정,부산 도시철도 3호선,일반역,,부산광역시 북구 만덕대로 지하 179,35.212815928,129.014349624
0312,숙등,부산 도시철도 3호선,일반역,,부산광역시 북구 만덕대로 지하 79,35.212815928,129.014349624
0313,덕천,부산 도시철도 3호선,환승역,부산 도시철도 2호선+부산 도시철도 3호선,부산광역시 북구 덕천동 327번지,35.210277195929734,129.00592317847048
0314,구포,부산 도시철도 3호선,일반역,,부산광역시 북구 낙동대로 1697,35.206656653,128.996429631
0315,강서구청,부산 도시철도 3호선,일반역,,부산광역시 강서구 낙동북로 485,35.211219291,128.981959144
0316,체육공원,부산 도시철도 3호선,일반역,,부산광역시 강서구 낙동북로 371,35.212508026,128.969461080
0317,대저,부산 도시철도 3호선,환승역,부산 도시철도 3호선+부산김해경전철,부산광역시 강서구 낙동북로 295,35.213362827,128.961046234
0401,미남,부산 경량도시철도 4호선,환승역,부산 도시철도 3호선+부산 경량도시철도 4호선,부산광역시 동래구 충렬대로 지하 147,35.207168619,129.072047884
0402,동래,부산 경량도시철도 4호선,환승역,부산 도시철도 1호선+부산 경량도시철도 4호선,부산 동래구 충렬대로 147,35.204744043,129.077231867
0403,수안,부산 경량도시철도 4호선,일반역,,부산광역시 동래구 충렬대로 지하 223,35.207168619,129.072047884
0404,낙민,부산 경량도시철도 4호선,일반역,,부산광역시 동래구 충렬대로 지하 285,35.207168619,129.072047884
0405,충렬사,부산 경량도시철도 4호선,일반역,,부산광역시 동래구 반송로 지하 205,35.193861727,129.092312971
0406,명장,부산 경량도시철도 4호선,일반역,,부산광역시 동래구 반송로 지하 281,35.193861727,129.092312971
0407,서동,부산 경량도시철도 4호선,일반역,,부산광역시 금정구 반송로 지하 387,35.215779873,129.115113508
0408,금사,부산 경량도시철도 4호선,일반역,,부산광역시 금정구 반송로 지하 465,35.215779873,129.115113508
